Chunk #, JSON Bytes, JSON+DEFLATE_SPEED Bytes, JSON+DEFLATE_SPEED ms, JSON+DEFLATE_DEFAULT Bytes, JSON+DEFLATE_DEFAULT ms, JSON+DEFLATE_MAX Bytes, JSON+DEFLATE_MAX ms, ascii85 Bytes, DEFLATE_SPEED+ascii85 Bytes, DEFLATE_DEFAULT+ascii85 Bytes, DEFLATE_MAX+ascii85 Bytes, ascii85+DEFLATE_SPEED Bytes, ascii85+DEFLATE_DEFAULT Bytes, ascii85+DEFLATE_MAX Bytes, CBOR Bytes, CBOR+DEFLATE_SPEED Bytes, CBOR+DEFLATE_SPEED ms, CBOR+DEFLATE_DEFAULT Bytes, CBOR+DEFLATE_DEFAULT ms, CBOR+DEFLATE_MAX Bytes, CBOR+DEFLATE_MAX ms
195 , 3103740 ,  1476050 , 62 ,  1395495 , 146 ,  1388396 , 287 , 1925633 ,  1643645 ,  1610154 ,  1607364 ,  1397599 ,  1355693 ,  1354145 ,  1551882 ,  1227237 , 47 ,  1202931 , 59 ,  1199545 , 188
196 , 3217780 ,  1525640 , 62 ,  1439560 , 147 ,  1432564 , 292 , 2001259 ,  1695183 ,  1661320 ,  1656185 ,  1444181 ,  1400765 ,  1399159 ,  1608902 ,  1266287 , 48 ,  1241529 , 60 ,  1237081 , 195
197 , 3217894 ,  1529104 , 62 ,  1443368 , 148 ,  1436610 , 293 , 2001544 ,  1701066 ,  1669361 ,  1663934 ,  1446222 ,  1402766 ,  1401217 ,  1608959 ,  1271198 , 48 ,  1246534 , 60 ,  1242276 , 196
198 , 3240874 ,  1533257 , 70 ,  1444840 , 149 ,  1437966 , 296 , 2013900 ,  1704592 ,  1671410 ,  1665948 ,  1450583 ,  1406864 ,  1405088 ,  1620449 ,  1273080 , 49 ,  1248111 , 60 ,  1243950 , 199
199 , 3277522 ,  1549981 , 63 ,  1460542 , 151 ,  1453851 , 292 , 2042120 ,  1724125 ,  1689475 ,  1683627 ,  1467402 ,  1422188 ,  1420453 ,  1638773 ,  1287298 , 48 ,  1261893 , 61 ,  1257841 , 199
200 , 3244590 ,  1532029 , 63 ,  1443316 , 149 ,  1436211 , 293 , 2018843 ,  1703220 ,  1668989 ,  1662887 ,  1452366 ,  1407161 ,  1405547 ,  1622307 ,  1272370 , 48 ,  1246542 , 61 ,  1242177 , 197
201 , 3310034 ,  1557614 , 65 ,  1464151 , 151 ,  1456495 , 295 , 2061719 ,  1726917 ,  1690012 ,  1682893 ,  1481085 ,  1434197 ,  1432513 ,  1655029 ,  1289909 , 50 ,  1262162 , 61 ,  1257525 , 200
202 , 3343102 ,  1582898 , 65 ,  1486980 , 155 ,  1479283 , 298 , 2080522 ,  1754003 ,  1717101 ,  1710980 ,  1494009 ,  1446840 ,  1445140 ,  1671563 ,  1310307 , 49 ,  1283185 , 63 ,  1278304 , 207
203 , 3339162 ,  1574563 , 70 ,  1479409 , 153 ,  1471855 , 300 , 2076014 ,  1746239 ,  1708112 ,  1701120 ,  1488203 ,  1442536 ,  1440780 ,  1669593 ,  1303633 , 49 ,  1276236 , 62 ,  1271241 , 214
204 , 3367004 ,  1586473 , 65 ,  1490015 , 153 ,  1482345 , 301 , 2092735 ,  1757151 ,  1720694 ,  1715333 ,  1496014 ,  1450528 ,  1448743 ,  1683514 ,  1312796 , 50 ,  1285776 , 62 ,  1280829 , 203
205 , 3365720 ,  1590999 , 65 ,  1496198 , 153 ,  1489002 , 300 , 2088579 ,  1764882 ,  1728147 ,  1721020 ,  1500404 ,  1456625 ,  1454939 ,  1682872 ,  1317904 , 50 ,  1290923 , 62 ,  1285867 , 200
206 , 3402856 ,  1617709 , 66 ,  1522642 , 156 ,  1515399 , 303 , 2115643 ,  1795352 ,  1761727 ,  1754570 ,  1524793 ,  1479797 ,  1478098 ,  1701440 ,  1341335 , 51 ,  1315578 , 63 ,  1310534 , 206
207 , 3365176 ,  1596538 , 65 ,  1502923 , 155 ,  1495721 , 301 , 2090895 ,  1772180 ,  1736248 ,  1730174 ,  1504568 ,  1460485 ,  1458798 ,  1682600 ,  1323857 , 50 ,  1297079 , 62 ,  1292200 , 203
208 , 3387034 ,  1605847 , 66 ,  1511136 , 155 ,  1504035 , 302 , 2104037 ,  1782681 ,  1745816 ,  1740286 ,  1514823 ,  1470085 ,  1468317 ,  1693529 ,  1331414 , 50 ,  1304195 , 63 ,  1299255 , 202
209 , 3425888 ,  1634946 , 66 ,  1539520 , 158 ,  1532418 , 303 , 2132102 ,  1817669 ,  1781492 ,  1775217 ,  1536762 ,  1491829 ,  1490136 ,  1712956 ,  1357578 , 51 ,  1330557 , 63 ,  1325849 , 203
210 , 3471616 ,  1653126 , 68 ,  1556750 , 159 ,  1549561 , 304 , 2161008 ,  1838535 ,  1802467 ,  1796772 ,  1554040 ,  1508689 ,  1507046 ,  1735820 ,  1373426 , 52 ,  1345799 , 65 ,  1341066 , 207
211 , 3460786 ,  1656350 , 67 ,  1560667 , 160 ,  1553210 , 307 , 2155213 ,  1843087 ,  1805428 ,  1799514 ,  1556208 ,  1510945 ,  1509436 ,  1730405 ,  1376434 , 52 ,  1348993 , 64 ,  1343972 , 209
212 , 3448294 ,  1634824 , 72 ,  1539818 , 169 ,  1532236 , 321 , 2145329 ,  1813743 ,  1778502 ,  1771010 ,  1546714 ,  1500151 ,  1498479 ,  1724159 ,  1355286 , 52 ,  1328750 , 64 ,  1323181 , 207
213 , 3462268 ,  1634259 , 67 ,  1536546 , 160 ,  1529122 , 318 , 2153740 ,  1812984 ,  1775550 ,  1769202 ,  1545999 ,  1497331 ,  1495489 ,  1731146 ,  1353986 , 56 ,  1326595 , 69 ,  1321011 , 219
214 , 3451396 ,  1624006 , 80 ,  1526262 , 159 ,  1518599 , 323 , 2140692 ,  1801720 ,  1764016 ,  1755951 ,  1535402 ,  1488448 ,  1486617 ,  1725710 ,  1345210 , 52 ,  1317707 , 67 ,  1312164 , 216
215 , 3558248 ,  1672456 , 69 ,  1570451 , 162 ,  1562309 , 332 , 2208188 ,  1852096 ,  1814223 ,  1805213 ,  1579857 ,  1531130 ,  1529142 ,  1779136 ,  1383139 , 53 ,  1355009 , 68 ,  1348856 , 225
216 , 3553270 ,  1673791 , 69 ,  1572387 , 170 ,  1564080 , 320 , 2201882 ,  1854639 ,  1817896 ,  1808390 ,  1581720 ,  1533976 ,  1531988 ,  1776647 ,  1385130 , 53 ,  1357358 , 75 ,  1351270 , 214
217 , 3553924 ,  1678409 , 84 ,  1577254 , 163 ,  1569262 , 329 , 2203207 ,  1859787 ,  1822714 ,  1815035 ,  1588624 ,  1541397 ,  1539539 ,  1776974 ,  1389415 , 54 ,  1361700 , 65 ,  1355751 , 212
218 , 3559848 ,  1689849 , 74 ,  1590076 , 178 ,  1582124 , 324 , 2204877 ,  1873985 ,  1834899 ,  1827732 ,  1594901 ,  1547304 ,  1545547 ,  1779936 ,  1399258 , 54 ,  1371229 , 66 ,  1365115 , 224
219 , 2283448 ,  1078740 , 48 ,  1013500 , 113 ,  1008250 , 208 , 1415890 ,  1195369 ,  1171231 ,  1165528 ,  1018004 ,  986967 ,  985732 ,  1141736 ,  892491 , 35 ,  874628 , 44 ,  870614 , 147
